CUADRADO
Lado= 10.0 PuntoInfIzq= (x=9.0, y=5.0) , PuntoSupDer=null Area: 100.0
Lado= 10.0 PuntoInfIzq= (x=5.0, y=5.0) , PuntoSupDer=null Area: 100.0
Lado= 10.0 PuntoInfIzq= (x=8.0, y=2.0) , PuntoSupDer=null Area: 100.0
Lado= 10.0 PuntoInfIzq= (x=6.0, y=8.0) , PuntoSupDer=null Area: 100.0
Lado= 10.0 PuntoInfIzq= (x=5.0, y=5.0) , PuntoSupDer=null Area: 100.0
Lado= 9.0 PuntoInfIzq= (x=4.0, y=5.0) , PuntoSupDer=null Area: 81.0
Lado= 9.0 PuntoInfIzq= (x=3.0, y=2.0) , PuntoSupDer=null Area: 81.0
Lado= 9.0 PuntoInfIzq= (x=6.0, y=4.0) , PuntoSupDer=null Area: 81.0
Lado= 9.0 PuntoInfIzq= (x=9.0, y=10.0) , PuntoSupDer=null Area: 81.0
Lado= 9.0 PuntoInfIzq= (x=4.0, y=4.0) , PuntoSupDer=null Area: 81.0
Lado= 8.0 PuntoInfIzq= (x=6.0, y=2.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=4.0, y=9.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=6.0, y=6.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=3.0, y=5.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=6.0, y=2.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=8.0, y=4.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=9.0, y=9.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=3.0, y=5.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=10.0, y=6.0) , PuntoSupDer=null Area: 64.0
Lado= 7.0 PuntoInfIzq= (x=6.0, y=2.0) , PuntoSupDer=null Area: 49.0
Lado= 7.0 PuntoInfIzq= (x=7.0, y=9.0) , PuntoSupDer=null Area: 49.0
Lado= 7.0 PuntoInfIzq= (x=3.0, y=7.0) , PuntoSupDer=null Area: 49.0
Lado= 7.0 PuntoInfIzq= (x=7.0, y=2.0) , PuntoSupDer=null Area: 49.0
Lado= 7.0 PuntoInfIzq= (x=10.0, y=10.0) , PuntoSupDer=null Area: 49.0
Lado= 6.0 PuntoInfIzq= (x=7.0, y=6.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=5.0, y=7.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=8.0, y=8.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=9.0, y=6.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=9.0, y=3.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=10.0, y=4.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=5.0, y=6.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=3.0, y=4.0) , PuntoSupDer=null Area: 36.0
Lado= 5.0 PuntoInfIzq= (x=4.0, y=9.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=7.0, y=8.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=3.0, y=9.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=9.0, y=2.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=4.0, y=9.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=10.0, y=4.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=3.0, y=6.0) , PuntoSupDer=null Area: 25.0
Lado= 4.0 PuntoInfIzq= (x=8.0, y=10.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=7.0, y=8.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=5.0, y=2.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=6.0, y=9.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=4.0, y=4.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=2.0, y=10.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=2.0, y=6.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=2.0, y=10.0) , PuntoSupDer=null Area: 16.0
Lado= 3.0 PuntoInfIzq= (x=10.0, y=5.0) , PuntoSupDer=null Area: 9.0
Lado= 3.0 PuntoInfIzq= (x=7.0, y=10.0) , PuntoSupDer=null Area: 9.0
Lado= 3.0 PuntoInfIzq= (x=2.0, y=7.0) , PuntoSupDer=null Area: 9.0
Lado= 3.0 PuntoInfIzq= (x=10.0, y=8.0) , PuntoSupDer=null Area: 9.0
Lado= 2.0 PuntoInfIzq= (x=9.0, y=10.0) , PuntoSupDer=null Area: 4.0
Lado= 2.0 PuntoInfIzq= (x=2.0, y=2.0) , PuntoSupDer=null Area: 4.0
Lado= 2.0 PuntoInfIzq= (x=6.0, y=7.0) , PuntoSupDer=null Area: 4.0
CIRCULO
Centro=  (x=7.0, y=9.0) , RadioMayor= 10.0, RadioMenor= 10.0 Area: 314.1592653589793
Centro=  (x=6.0, y=2.0) , RadioMayor= 2.0, RadioMenor= 2.0 Area: 12.566370614359172
RECTANGULO
PuntoInfIzq= (x=10.0, y=10.0) , PuntoSupDer= (x=2.0, y=6.0)  Area: 32.0
PuntoInfIzq= (x=2.0, y=8.0) , PuntoSupDer= (x=10.0, y=4.0)  Area: 32.0
PuntoInfIzq= (x=3.0, y=2.0) , PuntoSupDer= (x=8.0, y=7.0)  Area: 25.0
PuntoInfIzq= (x=6.0, y=3.0) , PuntoSupDer= (x=10.0, y=9.0)  Area: 24.0
PuntoInfIzq= (x=10.0, y=4.0) , PuntoSupDer= (x=6.0, y=9.0)  Area: 20.0
PuntoInfIzq= (x=6.0, y=5.0) , PuntoSupDer= (x=10.0, y=10.0)  Area: 20.0
PuntoInfIzq= (x=10.0, y=10.0) , PuntoSupDer= (x=5.0, y=6.0)  Area: 20.0
PuntoInfIzq= (x=2.0, y=7.0) , PuntoSupDer= (x=6.0, y=2.0)  Area: 20.0
PuntoInfIzq= (x=4.0, y=4.0) , PuntoSupDer= (x=7.0, y=10.0)  Area: 18.0
PuntoInfIzq= (x=9.0, y=9.0) , PuntoSupDer= (x=5.0, y=5.0)  Area: 16.0
PuntoInfIzq= (x=5.0, y=10.0) , PuntoSupDer= (x=9.0, y=6.0)  Area: 16.0
PuntoInfIzq= (x=7.0, y=10.0) , PuntoSupDer= (x=10.0, y=5.0)  Area: 15.0
PuntoInfIzq= (x=4.0, y=7.0) , PuntoSupDer= (x=9.0, y=10.0)  Area: 15.0
PuntoInfIzq= (x=3.0, y=6.0) , PuntoSupDer= (x=10.0, y=4.0)  Area: 14.0
PuntoInfIzq= (x=9.0, y=4.0) , PuntoSupDer= (x=7.0, y=10.0)  Area: 12.0
PuntoInfIzq= (x=8.0, y=3.0) , PuntoSupDer= (x=5.0, y=7.0)  Area: 12.0
PuntoInfIzq= (x=8.0, y=4.0) , PuntoSupDer= (x=10.0, y=9.0)  Area: 10.0
PuntoInfIzq= (x=7.0, y=6.0) , PuntoSupDer= (x=4.0, y=3.0)  Area: 9.0
PuntoInfIzq= (x=10.0, y=3.0) , PuntoSupDer= (x=2.0, y=2.0)  Area: 8.0
PuntoInfIzq= (x=3.0, y=6.0) , PuntoSupDer= (x=7.0, y=4.0)  Area: 8.0
PuntoInfIzq= (x=6.0, y=9.0) , PuntoSupDer= (x=5.0, y=2.0)  Area: 7.0
PuntoInfIzq= (x=4.0, y=6.0) , PuntoSupDer= (x=7.0, y=8.0)  Area: 6.0
PuntoInfIzq= (x=3.0, y=6.0) , PuntoSupDer= (x=5.0, y=9.0)  Area: 6.0
PuntoInfIzq= (x=5.0, y=9.0) , PuntoSupDer= (x=2.0, y=7.0)  Area: 6.0
PuntoInfIzq= (x=2.0, y=5.0) , PuntoSupDer= (x=8.0, y=4.0)  Area: 6.0
PuntoInfIzq= (x=2.0, y=3.0) , PuntoSupDer= (x=4.0, y=6.0)  Area: 6.0
PuntoInfIzq= (x=7.0, y=9.0) , PuntoSupDer= (x=4.0, y=7.0)  Area: 6.0
PuntoInfIzq= (x=7.0, y=10.0) , PuntoSupDer= (x=6.0, y=5.0)  Area: 5.0
PuntoInfIzq= (x=10.0, y=6.0) , PuntoSupDer= (x=9.0, y=10.0)  Area: 4.0
PuntoInfIzq= (x=6.0, y=6.0) , PuntoSupDer= (x=4.0, y=8.0)  Area: 4.0
PuntoInfIzq= (x=8.0, y=2.0) , PuntoSupDer= (x=10.0, y=4.0)  Area: 4.0
PuntoInfIzq= (x=6.0, y=2.0) , PuntoSupDer= (x=2.0, y=3.0)  Area: 4.0
PuntoInfIzq= (x=2.0, y=5.0) , PuntoSupDer= (x=3.0, y=8.0)  Area: 3.0
PuntoInfIzq= (x=9.0, y=8.0) , PuntoSupDer= (x=10.0, y=5.0)  Area: 3.0
PuntoInfIzq= (x=9.0, y=9.0) , PuntoSupDer= (x=8.0, y=6.0)  Area: 3.0
PuntoInfIzq= (x=10.0, y=5.0) , PuntoSupDer= (x=8.0, y=4.0)  Area: 2.0
PuntoInfIzq= (x=10.0, y=5.0) , PuntoSupDer= (x=8.0, y=4.0)  Area: 2.0
PuntoInfIzq= (x=4.0, y=7.0) , PuntoSupDer= (x=3.0, y=5.0)  Area: 2.0
PuntoInfIzq= (x=7.0, y=5.0) , PuntoSupDer= (x=8.0, y=3.0)  Area: 2.0
PuntoInfIzq= (x=5.0, y=6.0) , PuntoSupDer= (x=4.0, y=4.0)  Area: 2.0
PuntoInfIzq= (x=8.0, y=10.0) , PuntoSupDer= (x=7.0, y=8.0)  Area: 2.0
PuntoInfIzq= (x=5.0, y=5.0) , PuntoSupDer= (x=6.0, y=4.0)  Area: 1.0
PuntoInfIzq= (x=9.0, y=4.0) , PuntoSupDer= (x=8.0, y=5.0)  Area: 1.0
PuntoInfIzq= (x=6.0, y=2.0) , PuntoSupDer= (x=5.0, y=3.0)  Area: 1.0
PuntoInfIzq= (x=6.0, y=5.0) , PuntoSupDer= (x=6.0, y=9.0)  Area: 0.0
PuntoInfIzq= (x=2.0, y=8.0) , PuntoSupDer= (x=6.0, y=8.0)  Area: 0.0
PuntoInfIzq= (x=2.0, y=6.0) , PuntoSupDer= (x=4.0, y=6.0)  Area: 0.0
PuntoInfIzq= (x=9.0, y=9.0) , PuntoSupDer= (x=9.0, y=6.0)  Area: 0.0
PuntoInfIzq= (x=9.0, y=4.0) , PuntoSupDer= (x=9.0, y=6.0)  Area: 0.0
PuntoInfIzq= (x=5.0, y=9.0) , PuntoSupDer= (x=6.0, y=9.0)  Area: 0.0
PuntoInfIzq= (x=8.0, y=6.0) , PuntoSupDer= (x=8.0, y=10.0)  Area: 0.0
PuntoInfIzq= (x=8.0, y=8.0) , PuntoSupDer= (x=6.0, y=8.0)  Area: 0.0
PuntoInfIzq= (x=8.0, y=3.0) , PuntoSupDer= (x=6.0, y=3.0)  Area: 0.0
PuntoInfIzq= (x=8.0, y=10.0) , PuntoSupDer= (x=8.0, y=5.0)  Area: 0.0
TRIANGULO
Vertice1=  (x=5.0, y=2.0) , Vertice2=  (x=10.0, y=6.0) , Vertice3=  (x=4.0, y=10.0)  Area: 22.0
Vertice1=  (x=10.0, y=2.0) , Vertice2=  (x=9.0, y=7.0) , Vertice3=  (x=2.0, y=2.0)  Area: 19.99999999999999
Vertice1=  (x=2.0, y=10.0) , Vertice2=  (x=6.0, y=3.0) , Vertice3=  (x=2.0, y=2.0)  Area: 16.000000000000004
Vertice1=  (x=7.0, y=10.0) , Vertice2=  (x=4.0, y=2.0) , Vertice3=  (x=2.0, y=7.0)  Area: 15.500000000000005
Vertice1=  (x=5.0, y=8.0) , Vertice2=  (x=9.0, y=6.0) , Vertice3=  (x=3.0, y=2.0)  Area: 14.000000000000009
Vertice1=  (x=9.0, y=3.0) , Vertice2=  (x=4.0, y=2.0) , Vertice3=  (x=7.0, y=8.0)  Area: 13.499999999999995
Vertice1=  (x=10.0, y=8.0) , Vertice2=  (x=4.0, y=9.0) , Vertice3=  (x=7.0, y=4.0)  Area: 13.499999999999988
Vertice1=  (x=6.0, y=2.0) , Vertice2=  (x=9.0, y=4.0) , Vertice3=  (x=7.0, y=10.0)  Area: 10.999999999999998
Vertice1=  (x=6.0, y=3.0) , Vertice2=  (x=9.0, y=4.0) , Vertice3=  (x=6.0, y=10.0)  Area: 10.500000000000009
Vertice1=  (x=6.0, y=2.0) , Vertice2=  (x=6.0, y=7.0) , Vertice3=  (x=2.0, y=7.0)  Area: 10.0
Vertice1=  (x=6.0, y=8.0) , Vertice2=  (x=5.0, y=3.0) , Vertice3=  (x=2.0, y=7.0)  Area: 9.499999999999996
Vertice1=  (x=9.0, y=4.0) , Vertice2=  (x=7.0, y=7.0) , Vertice3=  (x=2.0, y=6.0)  Area: 8.499999999999996
Vertice1=  (x=10.0, y=10.0) , Vertice2=  (x=6.0, y=6.0) , Vertice3=  (x=4.0, y=8.0)  Area: 7.999999999999998
Vertice1=  (x=4.0, y=4.0) , Vertice2=  (x=10.0, y=7.0) , Vertice3=  (x=3.0, y=6.0)  Area: 7.500000000000001
Vertice1=  (x=5.0, y=4.0) , Vertice2=  (x=5.0, y=7.0) , Vertice3=  (x=10.0, y=8.0)  Area: 7.499999999999999
Vertice1=  (x=10.0, y=8.0) , Vertice2=  (x=3.0, y=8.0) , Vertice3=  (x=5.0, y=6.0)  Area: 7.000000000000001
Vertice1=  (x=8.0, y=2.0) , Vertice2=  (x=6.0, y=3.0) , Vertice3=  (x=7.0, y=9.0)  Area: 6.499999999999996
Vertice1=  (x=3.0, y=7.0) , Vertice2=  (x=9.0, y=3.0) , Vertice3=  (x=6.0, y=7.0)  Area: 6.000000000000005
Vertice1=  (x=3.0, y=4.0) , Vertice2=  (x=6.0, y=4.0) , Vertice3=  (x=7.0, y=8.0)  Area: 5.999999999999999
Vertice1=  (x=7.0, y=2.0) , Vertice2=  (x=6.0, y=5.0) , Vertice3=  (x=3.0, y=3.0)  Area: 5.5
Vertice1=  (x=5.0, y=7.0) , Vertice2=  (x=6.0, y=3.0) , Vertice3=  (x=3.0, y=5.0)  Area: 5.000000000000003
Vertice1=  (x=5.0, y=5.0) , Vertice2=  (x=3.0, y=5.0) , Vertice3=  (x=7.0, y=10.0)  Area: 5.000000000000003
Vertice1=  (x=4.0, y=6.0) , Vertice2=  (x=5.0, y=7.0) , Vertice3=  (x=10.0, y=2.0)  Area: 5.0
Vertice1=  (x=4.0, y=7.0) , Vertice2=  (x=7.0, y=9.0) , Vertice3=  (x=9.0, y=7.0)  Area: 5.0
Vertice1=  (x=7.0, y=9.0) , Vertice2=  (x=10.0, y=9.0) , Vertice3=  (x=6.0, y=6.0)  Area: 4.500000000000002
Vertice1=  (x=8.0, y=3.0) , Vertice2=  (x=5.0, y=7.0) , Vertice3=  (x=5.0, y=4.0)  Area: 4.500000000000002
Vertice1=  (x=6.0, y=2.0) , Vertice2=  (x=9.0, y=5.0) , Vertice3=  (x=10.0, y=9.0)  Area: 4.500000000000001
Vertice1=  (x=4.0, y=7.0) , Vertice2=  (x=7.0, y=7.0) , Vertice3=  (x=10.0, y=10.0)  Area: 4.499999999999993
Vertice1=  (x=2.0, y=8.0) , Vertice2=  (x=2.0, y=9.0) , Vertice3=  (x=10.0, y=5.0)  Area: 4.000000000000006
Vertice1=  (x=10.0, y=9.0) , Vertice2=  (x=5.0, y=5.0) , Vertice3=  (x=7.0, y=5.0)  Area: 4.0
Vertice1=  (x=5.0, y=2.0) , Vertice2=  (x=5.0, y=4.0) , Vertice3=  (x=9.0, y=0.0)  Area: 3.999999999999997
Vertice1=  (x=7.0, y=5.0) , Vertice2=  (x=4.0, y=9.0) , Vertice3=  (x=5.0, y=10.0)  Area: 3.500000000000005
Vertice1=  (x=8.0, y=3.0) , Vertice2=  (x=2.0, y=8.0) , Vertice3=  (x=7.0, y=5.0)  Area: 3.500000000000005
